Car_Name,Make,Model,Make_Year,Price
"Hyundai Fluidic Verna 4S [2015-2017] 1.6 CRDi SX",Hyundai,"Fluidic Verna 4S",2017,870000
"Maruti Suzuki Wagon R 1.0 [2010-2019] VXI","Maruti Suzuki","Wagon R 1.0",2012,323000
"Hyundai Verna [2011-2015] Fluidic 1.6 CRDi SX",Hyundai,Verna,2014,702000
"Renault Kwid RXL",Renault,Kwid,2021,472000
"Renault Kwid [2016-2019] 1.0 RXT",Renault,Kwid,2017,353000
"Hyundai Creta [2015-2018] 1.6 SX Plus Petrol",Hyundai,Creta,2017,977000
"Maruti Suzuki Alto K10 [2014-2019] VXi (O)","Maruti Suzuki","Alto K10",2016,358000
"Maruti Suzuki Ritz [2009-2012] VXI","Maruti Suzuki",Ritz,2012,399000
"Hyundai Elite i20 [2018-2020] Sportz Plus 1.2",Hyundai,"Elite i20",2020,836000
"Ford EcoSport [2015-2017] Titanium 1.5L Ti-VCT",Ford,EcoSport,2017,803000
"Hyundai Verna [2017-2020] 1.6 VTVT SX (O) AT",Hyundai,Verna,2019,1266000
"Hyundai i10 [2010-2016] Magna 1.2 Petrol",Hyundai,i10,2012,343000
